tau,coverage,answer_precision,hallucination_rate,abstain_rate,selective_risk
0.05,1.0,0.6333,0.3667,0.0,0.3667
0.1,1.0,0.65,0.35,0.0,0.35
0.15,1.0,0.6667,0.3333,0.0,0.3333
0.2,0.9167,0.6909,0.2833,0.0833,0.3091
0.25,0.8667,0.6538,0.3,0.1333,0.3462
0.3,0.8167,0.7551,0.2,0.1833,0.2449
0.35,0.8167,0.6735,0.2667,0.1833,0.3265
0.4,0.6667,0.55,0.3,0.3333,0.45
0.45,0.2333,0.5,0.1167,0.7667,0.5
0.5,0.0833,0.6,0.0333,0.9167,0.4
0.55,0.0,0.0,0.0,1.0,0.0
0.6,0.0,0.0,0.0,1.0,0.0
0.65,0.0,0.0,0.0,1.0,0.0
0.7,0.0,0.0,0.0,1.0,0.0
0.75,0.0,0.0,0.0,1.0,0.0
0.8,0.0,0.0,0.0,1.0,0.0
0.85,0.0,0.0,0.0,1.0,0.0
0.9,0.0,0.0,0.0,1.0,0.0
0.95,0.0,0.0,0.0,1.0,0.0
